Districts (adm2 level),Total population,men,women,urban_population,urban_population_men,urban_population_women,rural_population,rural_population_men,rural_population_women
Bukhar-zhyrau district,"52,663","26,747","25,916",-,-,-,"52,663","26,747","25,916"
Karkaraly district,"30,082","15,609","14,473","9,109","4,459","4,650","20,973","11,150","9,823"
Nura district,"21,657","11,234","10,423",-,-,-,"21,657","11,234","10,423"
Osakarovka district,"29,518","14,703","14,815",-,-,-,"29,518","14,703","14,815"
Shet district,"36,856","19,045","17,811",-,-,-,"36,856","19,045","17,811"
Kostanay city,"269,962","125,340","144,622","269,962","125,340","144,622",-,-,-
Arkalyk city,"37,674","18,639","19,035","28,145","13,689","14,456","9,529","4,950","4,579"
Lisakov city,"34,565","16,213","18,352","34,565","16,213","18,352",-,-,-
Rudny city,"123,240","58,592","64,648","122,684","58,312","64,372",556,280,276
Altynsarin district,"12,160","6,292","5,868",-,-,-,"12,160","6,292","5,868"
Amangeldy district,"13,125","7,002","6,123",-,-,-,"13,125","7,002","6,123"
Auliekol district,"34,047","16,919","17,128",-,-,-,"34,047","16,919","17,128"
Denisov district,"15,995","7,996","7,999",-,-,-,"15,995","7,996","7,999"
Zhangeldin district,"10,467","5,402","5,065",-,-,-,"10,467","5,402","5,065"
Zhitikara district,"41,746","20,224","21,522","34,832","16,371","18,461","6,914","3,853","3,061"
Kamysty district,"10,404","5,405","4,999",-,-,-,"10,404","5,405","4,999"
Karabalyk district,"24,020","11,906","12,114",-,-,-,"24,020","11,906","12,114"
Karasu district,"19,750","9,929","9,821",-,-,-,"19,750","9,929","9,821"
Kostanay district,"73,303","36,299","37,004","28,570","13,671","14,899","44,733","22,628","22,105"
Mendykara district,"21,447","10,766","10,681",-,-,-,"21,447","10,766","10,681"
Naurzum district,"8,740","4,692","4,048",-,-,-,"8,740","4,692","4,048"
Sarykol district,"16,837","8,565","8,272",-,-,-,"16,837","8,565","8,272"
Beimbet Maylin district,"22,317","11,153","11,164",-,-,-,"22,317","11,153","11,164"
Uzunkol district,"14,661","7,500","7,161",-,-,-,"14,661","7,500","7,161"
Fedorov district,"23,439","11,675","11,764",-,-,-,"23,439","11,675","11,764"
Kyzylorda city,"359,554","176,520","183,034","318,922","156,038","162,884","40,632","20,482","20,150"
Baikonur city,"33,367","16,186","17,181","33,367","16,186","17,181",-,-,-
Aral district,"79,253","40,634","38,619","37,299","18,881","18,418","41,954","21,753","20,201"
Zhalagash district,"36,041","18,707","17,334",-,-,-,"36,041","18,707","17,334"
Zhanakorgan district,"81,508","41,912","39,596",-,-,-,"81,508","41,912","39,596"
Kazaly district,"79,274","40,362","38,912","7,438","3,834","3,604","71,836","36,528","35,308"
Karmakshy district,"51,944","26,695","25,249",-,-,-,"51,944","26,695","25,249"
Syrdarya district,"37,930","19,668","18,262",-,-,-,"37,930","19,668","18,262"
Shieli district,"86,045","44,128","41,917",-,-,-,"86,045","44,128","41,917"
Aktau city,"287,155","137,939","149,216","279,280","133,892","145,388","7,875","4,047","3,828"
Zhanaozen city,"152,880","77,046","75,834","76,134","37,896","38,238","76,746","39,150","37,596"
Beyneu district,"72,963","37,022","35,941",-,-,-,"72,963","37,022","35,941"
Karakiya district,"36,693","18,666","18,027",-,-,-,"36,693","18,666","18,027"
Mangystau district,"35,103","17,788","17,315",-,-,-,"35,103","17,788","17,315"
Munaily district,"170,761","87,071","83,690",-,-,-,"170,761","87,071","83,690"
Tupkaragan district,"40,372","20,389","19,983","8,752","4,376","4,376","31,620","16,013","15,607"
Pavlodar city,"369,378","172,417","196,961","345,016","160,078","184,938","24,362","12,339","12,023"
Aksu city,"72,547","35,138","37,409","51,817","24,540","27,277","20,730","10,598","10,132"
Ekibastuz city,"144,899","69,758","75,141","137,114","65,519","71,595","7,785","4,239","3,546"
Aktogay district,"12,609","6,508","6,101",-,-,-,"12,609","6,508","6,101"
Bayanaul district,"23,247","11,951","11,296",-,-,-,"23,247","11,951","11,296"
Zhelezin district,"14,799","7,500","7,299",-,-,-,"14,799","7,500","7,299"
Ertis district,"16,429","8,315","8,114",-,-,-,"16,429","8,315","8,114"
Terenkol district,"19,482","9,790","9,692",-,-,-,"19,482","9,790","9,692"
Akkuly district,"12,052","6,225","5,827",-,-,-,"12,052","6,225","5,827"
May district,"10,248","5,374","4,874",-,-,-,"10,248","5,374","4,874"
Pavlodar district,"26,283","13,416","12,867",-,-,-,"26,283","13,416","12,867"
Uspen district,"12,502","6,239","6,263",-,-,-,"12,502","6,239","6,263"
Sharbakty district,"18,741","9,518","9,223",-,-,-,"18,741","9,518","9,223"
Petropavlovsk city,"221,562","102,405","119,157","221,562","102,405","119,157",-,-,-
Aiyrtau district,"31,467","15,688","15,779",-,-,-,"31,467","15,688","15,779"
Akzhar district,"13,026","6,668","6,358",-,-,-,"13,026","6,668","6,358"
Magzhan Zhumabayev district,"26,586","13,147","13,439","8,557","4,074","4,483","18,029","9,073","8,956"
Esil district,"20,733","10,383","10,350",-,-,-,"20,733","10,383","10,350"
Zhambyl district,"17,577","8,781","8,796",-,-,-,"17,577","8,781","8,796"
Kyzylzhar district,"46,813","23,288","23,525",-,-,-,"46,813","23,288","23,525"
Mamlyut district,"17,122","8,532","8,590","6,897","3,336","3,561","10,225","5,196","5,029"
Shal Akyn district,"17,471","8,662","8,809","8,119","3,942","4,177","9,352","4,720","4,632"
Akkayin district,"17,647","8,770","8,877",-,-,-,"17,647","8,770","8,877"
Taiynsha district,"38,995","19,257","19,738","12,975","6,303","6,672","26,020","12,954","13,066"
Timiryazev district,"9,582","4,840","4,742",-,-,-,"9,582","4,840","4,742"
Ualikhanov district,"12,693","6,440","6,253",-,-,-,"12,693","6,440","6,253"
Gabit Musrepov district,"34,911","17,237","17,674",-,-,-,"34,911","17,237","17,674"
Turkistan city,"232,709","116,441","116,268","232,709","116,441","116,268",-,-,-
Arys city,"79,002","40,658","38,344","56,093","28,768","27,325","22,909","11,890","11,019"
Kentau city,"99,903","49,710","50,193","74,798","36,922","37,876","25,105","12,788","12,317"
Baydibek district,"48,505","25,149","23,356",-,-,-,"48,505","25,149","23,356"
Zhetysay district,"186,953","96,040","90,913","44,613","22,666","21,947","142,340","73,374","68,966"
Keles district,"133,628","68,866","64,762",-,-,-,"133,628","68,866","64,762"
Kazygurt district,"118,106","61,048","57,058",-,-,-,"118,106","61,048","57,058"
Maktaaral district,"129,706","66,099","63,607",-,-,-,"129,706","66,099","63,607"
Ordabasy district,"129,496","67,002","62,494",-,-,-,"129,496","67,002","62,494"
Otyrar district,"51,430","26,712","24,718",-,-,-,"51,430","26,712","24,718"
Sairam district,"238,637","120,558","118,079",-,-,-,"238,637","120,558","118,079"
Saryagash district,"223,542","113,255","110,287","62,850","31,320","31,530","160,692","81,935","78,757"
Sauran district,"102,790","52,350","50,440",-,-,-,"102,790","52,350","50,440"
Suzak district,"63,194","32,357","30,837",-,-,-,"63,194","32,357","30,837"
Tole bi district,"122,403","62,311","60,092","34,257","16,777","17,480","88,146","45,534","42,612"
Tulkubas district,"106,241","54,157","52,084",-,-,-,"106,241","54,157","52,084"
Shardara district,"84,551","44,197","40,354","32,036","16,672","15,364","52,515","27,525","24,990"
Zhezkazgan city,"93,571","45,192","48,379","89,653","43,121","46,532","3,918","2,071","1,847"
Karazhal city,"17,324","8,633","8,691","17,324","8,633","8,691",-,-,-
Satpayev city,"68,850","33,120","35,730","68,702","33,053","35,649",148,67,81
Zhanaarka district,"30,787","15,767","15,020",-,-,-,"30,787","15,767","15,020"
Ulytau district,"11,082","5,932","5,150",-,-,-,"11,082","5,932","5,150"
Ust-Kamenogorsk city,"376,382","176,541","199,841","356,327","166,704","189,623","20,055","9,837","10,218"
Ridder city,"51,258","23,740","27,518","49,440","22,822","26,618","1,818",918,900
Glubokov district,"56,184","27,500","28,684",-,-,-,"56,184","27,500","28,684"
Zaisan district,"35,537","17,912","17,625","18,383","9,000","9,383","17,154","8,912","8,242"
Altai district,"59,833","28,073","31,760","42,415","19,328","23,087","17,418","8,745","8,673"
Kurshim district,"14,553","7,336","7,217",-,-,-,"14,553","7,336","7,217"
Katonkaragay district,"5,288","2,862","2,426",-,-,-,"5,288","2,862","2,426"
Markakol district,"6,995","3,700","3,295",-,-,-,"6,995","3,700","3,295"
Samar district,"11,606","5,796","5,810",-,-,-,"11,606","5,796","5,810"
Tarbagatay district,"18,786","9,835","8,951",-,-,-,"18,786","9,835","8,951"
Ulan district,"33,504","16,979","16,525",-,-,-,"33,504","16,979","16,525"
Ulken Naryn district,"15,037","7,552","7,485",-,-,-,"15,037","7,552","7,485"
Shemonaikha district,"41,114","20,051","21,063","18,239","8,666","9,573","22,875","11,385","11,490"
Almaty district,"393,604","187,554","206,050","393,604","187,554","206,050",-,-,-
Esil district,"279,844","133,030","146,814","279,844","133,030","146,814",-,-,-
Saryarka district,"350,179","167,386","182,793","350,179","167,386","182,793",-,-,-
Baikonur district,"229,104","107,933","121,171","229,104","107,933","121,171",-,-,-
Nura district,"219,282","103,688","115,594","219,282","103,688","115,594",-,-,-
Almaly district,"267,785","121,475","146,310","267,785","121,475","146,310",-,-,-
Alatau district,"377,054","180,393","196,661","377,054","180,393","196,661",-,-,-
Auezov district,"358,218","161,694","196,524","358,218","161,694","196,524",-,-,-
Bostandyk district,"333,501","151,777","181,724","333,501","151,777","181,724",-,-,-
Zhetysu district,"199,220","92,820","106,400","199,220","92,820","106,400",-,-,-
Medeu district,"249,640","119,544","130,096","249,640","119,544","130,096",-,-,-
Nauryzbay district,"210,086","97,813","112,273","210,086","97,813","112,273",-,-,-
Turksib district,"262,747","124,923","137,824","262,747","124,923","137,824",-,-,-
Abay district,"230,468","111,427","119,041","230,468","111,427","119,041",-,-,-
Al-Farabi district,"268,684","127,103","141,581","268,684","127,103","141,581",-,-,-
Enbekshi district,"205,214","98,507","106,707","205,214","98,507","106,707",-,-,-
Karatau district,"301,428","148,686","152,742","301,428","148,686","152,742",-,-,-
Turan district,"233,174","113,382","119,792","233,174","113,382","119,792",-,-,-
